Gat_TitleStatus#0,"""ギャザリングステータス"""
Explain_F0099#0,"""<yellow>「ウォパルシャーク」を3回、釣ろう！<c><br>\u3000※エリア：浮上施設<br>\u3000※対象カテゴリ：巨大釣り<br><c 73d882>\u3000※巨大釣りは「浮上施設カブのラビオリ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0100#0,"""<yellow>小型「浮上施設ニジエビ」を3回、釣ろう！<c><br>\u3000※エリア：浮上施設<br>\u3000※対象カテゴリ：小型釣り<br><c 73d882>\u3000※小型釣りは「海岸ムール貝のオイルづけ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0101#0,"""<yellow>ラスベガスで10回、釣りをしよう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：すべて"""
Explain_F0102#0,"""<yellow>ラスベガスで20回、釣りをしよう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：すべて"""
Explain_F0103#0,"""<yellow>ラスベガスで30回、釣りをしよう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：すべて"""
Explain_F0104#0,"""<yellow>「ラスベガスオマールエビ」を3回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0105#0,"""<yellow>「ラスベガスオマールエビ」を15回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0106#0,"""<yellow>「ラスベガスシマスズキ」を3回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0107#0,"""<yellow>「ラスベガスシマスズキ」を15回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0108#0,"""<yellow>「アースシェル」を3回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「砂漠ヒラメのパスタ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0109#0,"""<yellow>中型「ラスベガスバス」を3回、釣ろう！<c><br>\u3000※エリア：ラスベガス<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0110#0,"""<yellow>火山洞窟で10回、釣りをしよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_F0111#0,"""<yellow>火山洞窟で20回、釣りをしよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_F0112#0,"""<yellow>火山洞窟で30回、釣りをしよう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：すべて"""
Explain_F0113#0,"""<yellow>「火山洞窟ムール貝」を3回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「砂漠ヒラメのパスタ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0114#0,"""<yellow>「火山洞窟ムール貝」を15回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「砂漠ヒラメのパスタ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0115#0,"""<yellow>「火山洞窟ヨロイエビ」を3回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0116#0,"""<yellow>「火山洞窟ヨロイエビ」を15回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0117#0,"""<yellow>「アムドゥスキア珊瑚」を3回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：特殊<br><c 73d882>\u3000※特殊は「魚介の包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0118#0,"""<yellow>中型「火山洞窟イワナ」を3回、釣ろう！<c><br>\u3000※エリア：火山洞窟<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0119#0,"""<yellow>凍土で10回、釣りをしよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_F0120#0,"""<yellow>凍土で20回、釣りをしよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_F0121#0,"""<yellow>凍土で30回、釣りをしよう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：すべて"""
Explain_F0122#0,"""<yellow>「凍土ニシン」を3回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0123#0,"""<yellow>「凍土ニシン」を15回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0124#0,"""<yellow>「凍土ワカサギ」を3回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0125#0,"""<yellow>「凍土ワカサギ」を15回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0126#0,"""<yellow>「ナベルタートル」を3回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：特殊<br><c 73d882>\u3000※特殊は「魚介の包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0127#0,"""<yellow>大型「凍土カツオ」を3回、釣ろう！<c><br>\u3000※エリア：凍土<br>\u3000※対象カテゴリ：大型釣り<br><c 73d882>\u3000※大型釣りは「森林アユのトマト煮」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0128#0,"""<yellow>地下坑道で10回、釣りをしよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_F0129#0,"""<yellow>地下坑道で20回、釣りをしよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_F0130#0,"""<yellow>地下坑道で30回、釣りをしよう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：すべて"""
Explain_F0131#0,"""<yellow>「地下坑道シャコ」を3回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0132#0,"""<yellow>「地下坑道シャコ」を15回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0133#0,"""<yellow>「地下坑道マキガイ」を3回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「凍土ニシンのカインチュア」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0134#0,"""<yellow>「地下坑道マキガイ」を15回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「凍土ニシンのカインチュア」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0135#0,"""<yellow>「リリーパシェル」を3回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「凍土ニシンのカインチュア」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0136#0,"""<yellow>中型「地下坑道カラシン」を3回、釣ろう！<c><br>\u3000※エリア：地下坑道<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0137#0,"""<yellow>白ノ領域で10回、釣りをしよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0138#0,"""<yellow>白ノ領域で20回、釣りをしよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0139#0,"""<yellow>白ノ領域で30回、釣りをしよう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0140#0,"""<yellow>「白ノ領域フナ」を3回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0141#0,"""<yellow>「白ノ領域フナ」を15回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「採掘場跡タチウオのソテー」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0142#0,"""<yellow>「白ノ領域タカアシガニ」を3回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0143#0,"""<yellow>「白ノ領域タカアシガニ」を15回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0144#0,"""<yellow>「リトルザクリ」を3回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「白ノ領域フナの煮付け」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0145#0,"""<yellow>中型「白ノ領域イガイ」を3回、釣ろう！<c><br>\u3000※エリア：白ノ領域<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0146#0,"""<yellow>浮遊大陸で10回、釣りをしよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_F0147#0,"""<yellow>浮遊大陸で20回、釣りをしよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_F0148#0,"""<yellow>浮遊大陸で30回、釣りをしよう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：すべて"""
Explain_F0149#0,"""<yellow>「浮遊大陸コンブ」を3回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「地下坑道キノコのかに玉」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0150#0,"""<yellow>「浮遊大陸コンブ」を15回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「地下坑道キノコのかに玉」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0151#0,"""<yellow>「浮遊大陸カツオ」を3回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0152#0,"""<yellow>「浮遊大陸カツオ」を15回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0153#0,"""<yellow>「アムドゥスキア珊瑚」を3回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：特殊<br><c 73d882>\u3000※特殊は「魚介の包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0154#0,"""<yellow>中型「浮遊大陸フグ」を3回、釣ろう！<c><br>\u3000※エリア：浮遊大陸<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0155#0,"""<yellow>海底で10回、釣りをしよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_F0156#0,"""<yellow>海底で20回、釣りをしよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_F0157#0,"""<yellow>海底で30回、釣りをしよう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：すべて"""
Explain_F0158#0,"""<yellow>「海底イワガキ」を3回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「凍土ニシンのカインチュア」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0159#0,"""<yellow>「海底イワガキ」を15回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：貝類<br><c 73d882>\u3000※貝類は「凍土ニシンのカインチュア」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0160#0,"""<yellow>「海底タコ」を3回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：軟体類<br><c 73d882>\u3000※軟体類は「海鮮パンプキンパイ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0161#0,"""<yellow>「海底タコ」を15回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：軟体類<br><c 73d882>\u3000※軟体類は「海鮮パンプキンパイ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0162#0,"""<yellow>「ウォパルシャーク」を3回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：巨大釣り<br><c 73d882>\u3000※巨大釣りは「浮上施設カブのラビオリ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0163#0,"""<yellow>中型「海底アンコウ」を3回、釣ろう！<c><br>\u3000※エリア：海底<br>\u3000※対象カテゴリ：中型釣り<br><c 73d882>\u3000※中型釣りは「遺跡エビのかき揚げ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0164#0,"""<yellow>龍祭壇で10回、釣りをしよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_F0165#0,"""<yellow>龍祭壇で20回、釣りをしよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_F0166#0,"""<yellow>龍祭壇で30回、釣りをしよう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：すべて"""
Explain_F0167#0,"""<yellow>「龍祭壇シオマネキ」を3回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0168#0,"""<yellow>「龍祭壇シオマネキ」を15回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：甲殻類<br><c 73d882>\u3000※甲殻類は「東京マグロのお刺身」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0169#0,"""<yellow>「龍祭壇ライギョ」を3回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0170#0,"""<yellow>「龍祭壇ライギョ」を15回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0171#0,"""<yellow>「アムドゥスキア珊瑚」を3回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：特殊<br><c 73d882>\u3000※特殊は「魚介の包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0172#0,"""<yellow>巨大「龍祭壇カジキ」を3回、釣ろう！<c><br>\u3000※エリア：龍祭壇<br>\u3000※対象カテゴリ：巨大釣り<br><c 73d882>\u3000※巨大釣りは「浮上施設カブのラビオリ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0173#0,"""<yellow>黒ノ領域で10回、釣りをしよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0174#0,"""<yellow>黒ノ領域で20回、釣りをしよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0175#0,"""<yellow>黒ノ領域で30回、釣りをしよう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：すべて"""
Explain_F0176#0,"""<yellow>「黒ノ領域ホタルイカ」を3回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：軟体類<br><c 73d882>\u3000※軟体類は「海鮮パンプキンパイ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0177#0,"""<yellow>「黒ノ領域ホタルイカ」を15回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：軟体類<br><c 73d882>\u3000※軟体類は「海鮮パンプキンパイ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0178#0,"""<yellow>「黒ノ領域ダツ」を3回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0179#0,"""<yellow>「黒ノ領域ダツ」を15回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：魚類<br><c 73d882>\u3000※魚類は「海底イワガキの紙包み焼き」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0180#0,"""<yellow>「リトルザクリ」を3回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：その他<br><c 73d882>\u3000※その他は料理「白ノ領域フナの煮付け」で<br>\u3000\u3000取得率上昇<c>"""
Explain_F0181#0,"""<yellow>小型「黒ノ領域アワビ」を3回、釣ろう！<c><br>\u3000※エリア：黒ノ領域<br>\u3000※対象カテゴリ：小型釣り<br><c 73d882>\u3000※小型釣りは「海岸ムール貝のオイルづけ」で<br>\u3000\u3000取得率上昇<c>"""
SheetName_F0000#0,"""共通釣り1"""
SheetName_F0001#0,"""共通釣り2"""
SheetName_F0002#0,"""森林釣り1"""
SheetName_F0003#0,"""遺跡釣り1"""
SheetName_F0004#0,"""海岸釣り1"""
SheetName_F0005#0,"""東京釣り1"""
SheetName_F0006#0,"""砂漠釣り1"""
SheetName_F0007#0,"""採掘場跡釣り1"""
SheetName_F0008#0,"""浮上施設釣り1"""
SheetName_F0009#0,"""ラスベガス釣り1"""
SheetName_F0010#0,"""火山洞窟釣り1"""
SheetName_F0011#0,"""凍土釣り1"""
SheetName_F0012#0,"""地下坑道釣り1"""
SheetName_F0013#0,"""白ノ領域釣り1"""
SheetName_F0014#0,"""浮遊大陸釣り1"""
SheetName_F0015#0,"""海底釣り1"""
SheetName_F0016#0,"""龍祭壇釣り1"""
SheetName_F0017#0,"""黒ノ領域釣り1"""
RecipeName_0000#0,"""使用禁止"""
RecipeName_0001#0,"""使用禁止"""
RecipeName_0002#0,"""使用禁止"""
RecipeName_0003#0,"""森林トマトのサラダのレシピ"""
RecipeName_0004#0,"""お刺身のレシピ"""
RecipeName_0005#0,"""焼き魚のレシピ"""
RecipeName_0006#0,"""森林マグロのカルパッチョのレシピ"""
RecipeName_0007#0,"""森林アユのトマト煮のレシピ"""
RecipeName_0008#0,"""遺跡サケの果実ソースかけのレシピ"""
RecipeName_0009#0,"""遺跡エビのかき揚げのレシピ"""
RecipeName_0010#0,"""海岸ハギの塩焼きのレシピ"""
RecipeName_0011#0,"""海岸ムール貝のオイルづけのレシピ"""
RecipeName_0012#0,"""東京マダイの照り焼きのレシピ"""
RecipeName_0013#0,"""東京マグロのお刺身のレシピ"""
RecipeName_0014#0,"""海鮮スープのレシピ"""
RecipeName_0015#0,"""森林ブリのあら汁のレシピ"""
RecipeName_0016#0,"""ジャーキーのレシピ"""
RecipeName_0017#0,"""肉野菜炒めのレシピ"""
RecipeName_0018#0,"""マリネのレシピ"""
RecipeName_0019#0,"""デリシャスバーガーのレシピ"""
RecipeName_0020#0,"""東京風ハンバーグのレシピ"""
RecipeName_0021#0,"""砂漠ヒラメのパスタのレシピ"""
RecipeName_0022#0,"""採掘場跡ウナギのうな重のレシピ"""
RecipeName_0023#0,"""砂漠カニのコロッケのレシピ"""
RecipeName_0024#0,"""採掘場跡タチウオのソテーのレシピ"""
RecipeName_0025#0,"""浮上施設ミントのムニエルのレシピ"""
RecipeName_0026#0,"""浮上施設イカのブリトーのレシピ"""
RecipeName_0027#0,"""浮上施設イワシのサラダのレシピ"""
RecipeName_0028#0,"""浮上施設カブのラビオリのレシピ"""
RecipeName_0029#0,"""から揚げのレシピ"""
RecipeName_0030#0,"""使用禁止"""
RecipeName_0031#0,"""採掘場跡サメのスープのレシピ"""
RecipeName_0032#0,"""浮上施設ニジエビの清蒸のレシピ"""
RecipeName_0033#0,"""海鮮フルーツコンフィのレシピ"""
RecipeName_0034#0,"""海鮮パンプキンパイのレシピ"""
RecipeName_0035#0,"""凍土ネギのアヒージョのレシピ"""
RecipeName_0036#0,"""凍土ニシンのカインチュアのレシピ"""
RecipeName_0037#0,"""火山洞窟イワナのポワレのレシピ"""
RecipeName_0038#0,"""地下坑道シャコのグリエのレシピ"""
RecipeName_0039#0,"""地下坑道キノコのかに玉のレシピ"""
RecipeName_0040#0,"""地下坑道マキガイのサラダのレシピ"""
RecipeName_0041#0,"""白ノ領域フナの煮付けのレシピ"""
RecipeName_0042#0,"""シーフードブロシェットのレシピ"""
RecipeName_0043#0,"""海底タコのフリッターのレシピ"""
RecipeName_0044#0,"""海底イワガキの紙包み焼きのレシピ"""
RecipeName_0045#0,"""浮遊大陸カツオのブレゼのレシピ"""
RecipeName_0046#0,"""魚介の包み焼きのレシピ"""
RecipeName_0047#0,"""海鮮ちり鍋のレシピ"""
RecipeName_0048#0,"""黒ノ領域ダツのガレットのレシピ"""
RecipeName_0049#0,"""黒ノ領域ホタルイカのパイのレシピ"""
RecipeName_0050#0,"""龍祭壇ライギョのフライのレシピ"""
RecipeName_0051#0,"""黒ノ領域ゴボウのビスクのレシピ"""
RecipeName_0052#0,"""豪華海鮮盛りのレシピ"""
Achieved#0,"""実績：$(0) を達成！"""
Achieved2#0,"""実績：$(0) を達成し、$(1)を入手！"""
ReleasedSheet#0,"""新規実績シートが解放されました。"""
ReleasedKey#0,"""新規実績が解放されました。"""
ReleasedSheetAndKey#0,"""新規実績と実績シートが解放されました。"""
LevelUpC#0,"""<c 99ff97>採取レベルアップ！<c> <c f0df60>Lv.$(0)<c>になりました。"""
LevelUpF#0,"""<c 97fff2>釣りレベルアップ！<c> <c f0df60>Lv.$(0)<c>になりました。"""
